date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-10-16,8.65,Entertainment,Movies,Concert,Steam,expense,2
2024-10-16,26.32,Entertainment,Movies,Subscription,Spotify,expense,2
2024-10-16,43.19,Bank Fee,Bank Fee,Employee always.,Thomas Ltd,expense,2
2024-10-17,22.04,Entertainment,Music,Concert,AMC Theaters,expense,2
2024-10-17,16.44,Shopping,Clothing,Personal items,Macys,expense,2
2024-10-18,240.42,Utilities,Internet,Phone bill,PG&E,expense,2
2024-10-18,260.61,Utilities,Phone,Phone bill,AT&T,expense,2
2024-10-18,37.29,Bank Fee,Bank Fee,From sort.,Valdez-Ross,expense,2
2024-10-19,214.09,Healthcare,Dental,Prescription,CVS Pharmacy,expense,2
2024-10-21,27.7,Entertainment,Movies,Subscription,Netflix,expense,2
2024-10-21,125.51,Healthcare,Doctor Visit,Insurance,CVS Pharmacy,expense,2
2024-10-23,50.57,Shopping,Home Goods,Online purchase,CVS,expense,2
2024-10-23,15.0,Subscription,Subscription,Team as hard.,Cole PLC,expense,2
2024-10-26,53.72,Food & Dining,Fast Food,Lunch,Whole Foods,expense,2
2024-10-26,28.49,Entertainment,Music,Subscription,PlayStation Store,expense,2
2024-10-28,57.21,Transportation,Public Transit,Car payment,Lyft,expense,2
2024-10-29,16.11,Entertainment,Music,Concert,Spotify,expense,2
2024-10-29,11.5,Shopping,Personal Care,Personal items,CVS,expense,2
2024-10-30,1726.17,Housing,Property Tax,Rent payment,Landlord,expense,2
2024-10-30,46.42,Other,Other,So take war small successful.,Holmes Group,expense,2
2024-10-31,56.48,Food & Dining,Delivery,Dinner,Whole Foods,expense,2
2024-11-01,4305.65,Salary,Salary,Monthly salary payment,Finance Inc,income,2
2024-11-01,40.07,Subscription,Subscription,Bad meeting.,King PLC,expense,2
2024-11-02,42.86,Subscription,Subscription,Close man.,"Parker, Green and Peterson",expense,2
2024-11-03,51.146325495772174,Shopping,Electronics,Personal items,Target,expense,2
2024-11-04,1728.93,Housing,Rent,Rent payment,Home Depot,expense,2
2024-11-04,31.41,Entertainment,Movies,Subscription,Steam,expense,2
2024-11-10,101.81007152464545,Food & Dining,Fast Food,Dinner,Safeway,expense,2
2024-11-10,31.03,Transportation,Parking,Gas fill-up,Metro,expense,2
2024-11-10,243.19,Utilities,Electric,Internet bill,Water Company,expense,2
2024-11-10,12.93,Bank Fee,Bank Fee,Form herself turn market each.,Howe-Ramirez,expense,2
2024-11-13,21.53,Transportation,Parking,Parking fee,Metro,expense,2
2024-11-15,4370.88,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-11-15,737.71,Freelance,Freelance,Freelance project payment,Upwork,income,2
2024-11-15,40.903884660301735,Food & Dining,Groceries,Grocery shopping,Starbucks,expense,2
2024-11-15,35.27,Transportation,Public Transit,Gas fill-up,Chevron,expense,2
2024-11-15,82.99,Transportation,Public Transit,Gas fill-up,Shell,expense,2
2024-11-15,9.93,Entertainment,Gaming,Subscription,Netflix,expense,2
2024-11-15,14.56,ATM Fee,ATM Fee,Vote history bed behind high.,Gould-Morton,expense,2
2024-11-17,30.128236021510613,Shopping,Clothing,Personal items,CVS,expense,2
2024-11-19,51.8280610255877,Shopping,Home Goods,Online purchase,Walgreens,expense,2
2024-11-19,135.7,Healthcare,Insurance Premium,Prescription,Dental Associates,expense,2
2024-11-20,172.64,Healthcare,Dental,Prescription,Kaiser Permanente,expense,2
2024-11-20,16.83,Subscription,Subscription,Ability two site nation.,Mitchell Group,expense,2
2024-11-22,34.6,ATM Fee,ATM Fee,Nature east bit.,"Herrera, Cortez and Bryan",expense,2
2024-11-23,220.16,Utilities,Electric,Internet bill,Water Company,expense,2
2024-11-24,17.034015686523116,Food & Dining,Restaurants,Lunch,Whole Foods,expense,2
2024-11-24,50.5,Transportation,Car Payment,Gas fill-up,Lyft,expense,2
2024-11-25,34.4,ATM Fee,ATM Fee,Open message book note bad.,Bender-Nash,expense,2
2024-11-28,8.74,Entertainment,Music,Concert,Spotify,expense,2
2024-11-29,79.69574150009132,Food & Dining,Fast Food,Lunch,Whole Foods,expense,2
2024-11-29,10.71,Bank Fee,Bank Fee,Bed pattern build.,Atkins-Graves,expense,2
2024-12-01,4514.47,Salary,Salary,Monthly salary payment,Finance Inc,income,2
2024-12-01,810.05,Freelance,Freelance,Freelance project payment,Upwork,income,2
2024-12-01,179.73,Utilities,Electric,Phone bill,AT&T,expense,2
2024-12-01,256.14,Utilities,Phone,Electric bill,Comcast,expense,2
2024-12-02,151.74,Healthcare,Dental,Prescription,CVS Pharmacy,expense,2
2024-12-03,1837.29,Housing,HOA Fees,Rent payment,Home Depot,expense,2
2024-12-03,77.49,Transportation,Car Payment,Car payment,Lyft,expense,2
2024-12-04,31.124486486019027,Food & Dining,Fast Food,Dinner,Starbucks,expense,2
2024-12-05,52.55589685412819,Food & Dining,Coffee,Lunch,DoorDash,expense,2
2024-12-06,9.74,Bank Fee,Bank Fee,See never represent might feel.,"Conner, Neal and Dunn",expense,2
2024-12-08,67.39114676620378,Shopping,Home Goods,Retail shopping,Amazon,expense,2
2024-12-10,18.77,Entertainment,Music,Concert,Spotify,expense,2
2024-12-10,16.88,ATM Fee,ATM Fee,Hand serve.,Wong Group,expense,2
2024-12-13,202.15,Utilities,Electric,Phone bill,Water Company,expense,2
2024-12-14,32.166976256481014,Shopping,Electronics,Personal items,Best Buy,expense,2
2024-12-14,1298.5334286665293,Travel,Hotels,Flight booking,Hertz,expense,2
2024-12-15,4254.08,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-12-15,638.55,Freelance,Freelance,Freelance project payment,Client B,income,2
2024-12-18,19.36,Entertainment,Sports,Movie tickets,AMC Theaters,expense,2
2024-12-19,41.07192655589758,Shopping,Clothing,Personal items,Walgreens,expense,2
2024-12-19,49.41,Subscription,Subscription,Work theory opportunity television.,Watson-Smith,expense,2
2024-12-19,5.07,Bank Fee,Bank Fee,Have wind effect.,Ross-Cruz,expense,2
2024-12-20,14.6,Transportation,Gas,Parking fee,Shell,expense,2
2024-12-20,30.37704388287724,Shopping,Personal Care,Retail shopping,Macys,expense,2
2024-12-20,16.75,Other,Other,Whole fall value.,Bernard LLC,expense,2
2024-12-21,84.85524899135223,Food & Dining,Fast Food,Coffee,Starbucks,expense,2
2024-12-22,81.27,Transportation,Parking,Gas fill-up,Honda Finance,expense,2
2024-12-22,32.86,Bank Fee,Bank Fee,Today here play.,Montoya-Meyer,expense,2
2024-12-23,1818.37,Housing,Property Tax,Property maintenance,Wells Fargo,expense,2
2024-12-28,26.38,Subscription,Subscription,Film too authority or should.,"Haynes, Harmon and Graham",expense,2
2024-12-28,10.19,Bank Fee,Bank Fee,About together no try indicate.,Chandler Group,expense,2
2024-12-29,26.24,Entertainment,Streaming,Concert,AMC Theaters,expense,2
2024-12-31,21.833788752232426,Food & Dining,Restaurants,Grocery shopping,DoorDash,expense,2
